Designator,Mid X,Mid Y,Rotation,Layer
C1,-1131.0,113.3,0.0,top
C2,-1130.5,73.0,270.0,top
C3,-1129.0,73.0,270.0,top
C4,-1127.3,72.5,270.0,top
C5,-1132.1,72.6,270.0,top
C6,-1101.0,87.4,0.0,top
C7,-1101.8,89.3,0.0,top
C8,-1105.4,97.5,0.0,top
C9,-1164.2,114.975,270.0,top
D1,-1157.8,47.8,180.0,top
D2,-1178.37625,47.44,180.0,top
D3,-1127.78,55.2,0.0,top
D4,-1164.8,69.8,0.0,top
D5,-1140.98,87.6,0.0,top
D7,-1123.0,68.2,180.0,top
D8,-1101.7,51.7,90.0,top
J10,-1095.6,119.1,90.0,top
J11,-1117.7,122.3,180.0,top
J12,-1167.2,87.9,0.0,top
J13,-1177.3,130.6,180.0,top
J14,-1123.6,73.6,270.0,top
J15,-1163.9,125.2,0.0,top
J16,-1180.9,91.4,90.0,top
J17,-1180.9,78.9,90.0,top
J18,-1185.3,48.2,0.0,top
J19,-1167.2,82.8,0.0,top
J20,-1128.1,130.1,180.0,top
J21,-1096.66,106.9,90.0,top
J3,-1124.0,83.94,180.0,top
J4,-1107.65,47.4,90.0,top
J5,-1110.76,56.6,90.0,top
J6,-1110.96,52.1,90.0,top
J7,-1150.35,40.65,90.0,top
J8,-1168.35,40.15,90.0,top
J9,-1107.2175,40.6,0.0,top
K1,-1132.4,43.8,180.0,top
K2,-1144.6,99.8,90.0,top
Q1,-1153.2,58.2,90.0,top
Q2,-1152.4,69.2,90.0,top
Q3,-1175.53125,58.8,90.0,top
Q4,-1176.13125,69.0,90.0,top
Q5,-1118.5,59.8,270.0,top
Q6,-1122.1,59.8,270.0,top
Q7,-1127.5,59.8,270.0,top
Q8,-1132.6,59.9,270.0,top
Q9,-1120.2,96.485,270.0,top
R1,-1149.2,47.8,180.0,top
R10,-1170.2,109.45,270.0,top
R11,-1131.8,63.9,270.0,top
R14,-1125.9,116.6,0.0,top
R15,-1160.6,69.8,180.0,top
R16,-1133.4,96.8625,270.0,top
R17,-1130.6,96.8,270.0,top
R18,-1170.2,115.75,270.0,top
R19,-1170.3,120.9,180.0,top
R2,-1152.8,51.4,90.0,top
R3,-1162.0,63.2,0.0,top
R35,-1129.65,103.4,0.0,top
R36,-1115.0,105.4,0.0,top
R37,-1123.0,99.6,0.0,top
R38,-1110.8,95.0,180.0,top
R39,-1110.3,61.2,180.0,top
R4,-1185.0,63.8,0.0,top
R42,-1128.2,68.2,0.0,top
R43,-1101.7,56.0,270.0,top
R44,-1104.3,109.3,180.0,top
R45,-1104.2,105.0,180.0,top
R5,-1174.63125,51.84,270.0,top
R6,-1170.83125,47.44,180.0,top
R7,-1118.6,63.8,270.0,top
R8,-1122.2,63.9,270.0,top
R9,-1127.7,63.9,270.0,top
SW1,-1102.925,60.8,0.0,top
SW2,-1104.2,95.1,0.0,top
U1,-1109.3885,77.1,270.0,top
U2,-1160.05,114.742,0.0,top
U3,-1133.5,118.9,270.0,top
U4,-1131.0,79.76,270.0,top
